รหัสจังหวัด,province_clean,เขต,หมายเลข_clean,party_name_clean,คะแนน,First_digit
10,กรุงเทพมหานคร,5,56,เพื่อบ้านเมือง,12,1
10,กรุงเทพมหานคร,5,57,พลังไทยรักชาติ,13,1
10,กรุงเทพมหานคร,5,58,รักษ์ธรรม,0,0
10,กรุงเทพมหานคร,5,59,รวมพลัง,0,0
10,กรุงเทพมหานคร,5,60,สัมมาธิปไตย,0,0
10,กรุงเทพมหานคร,6,1,ไทยทรัพย์ทวี,40,4
10,กรุงเทพมหานคร,6,2,เพื่อชาติไทย,141,1
10,กรุงเทพมหานคร,6,3,ใหม่,76,7
10,กรุงเทพมหานคร,6,4,มิติใหม่,122,1
10,กรุงเทพมหานคร,6,5,รวมใจไทย,213,2
10,กรุงเทพมหานคร,6,6,รวมไทยสร้างชาติ,2942,2
10,กรุงเทพมหานคร,6,7,พลวัต,256,2
10,กรุงเทพมหานคร,6,8,ประชาธิปไตยใหม่,259,2
10,กรุงเทพมหานคร,6,9,เพื่อไทย,8024,8
10,กรุงเทพมหานคร,6,10,ทางเลือกใหม่,401,4
10,กรุงเทพมหานคร,6,11,เศรษฐกิจ,2620,2
10,กรุงเทพมหานคร,6,12,เสรีรวมไทย,332,3
10,กรุงเทพมหานคร,6,13,รวมพลังประชาชน,293,2
10,กรุงเทพมหานคร,6,14,ท้องที่ไทย,51,5
10,กรุงเทพมหานคร,6,15,อนาคตไทย,50,5
10,กรุงเทพมหานคร,6,16,พลังเพื่อไทย,55,5
10,กรุงเทพมหานคร,6,17,ไทยชนะ,48,4
10,กรุงเทพมหานคร,6,18,พลังสังคมใหม่,15,1
10,กรุงเทพมหานคร,6,19,สังคมประชาธิปไตยไทย,23,2
10,กรุงเทพมหานคร,6,20,ฟิวชัน,14,1
10,กรุงเทพมหานคร,6,21,ไทยรวมพลัง,21,2
10,กรุงเทพมหานคร,6,22,ก้าวอิสระ,20,2
10,กรุงเทพมหานคร,6,23,ปวงชนไทย,45,4
10,กรุงเทพมหานคร,6,24,วินัยไทย,16,1
10,กรุงเทพมหานคร,6,25,เพื่อชีวิตใหม่,16,1
10,กรุงเทพมหานคร,6,26,คลองไทย,81,8
10,กรุงเทพมหานคร,6,27,ประชาธิปัตย์,10980,1
10,กรุงเทพมหานคร,6,28,ไทยก้าวหน้า,81,8
10,กรุงเทพมหานคร,6,29,ไทยภักดี,1924,1
10,กรุงเทพมหานคร,6,30,แรงงานสร้างชาติ,25,2
10,กรุงเทพมหานคร,6,31,ประชากรไทย,41,4
10,กรุงเทพมหานคร,6,32,ครูไทยเพื่อประชาชน,17,1
10,กรุงเทพมหานคร,6,33,ประชาชาติ,57,5
10,กรุงเทพมหานคร,6,34,สร้างอนาคตไทย,24,2
10,กรุงเทพมหานคร,6,35,รักชาติ,112,1
10,กรุงเทพมหานคร,6,36,ไทยพร้อม,212,2
10,กรุงเทพมหานคร,6,37,ภูมิใจไทย,17561,1
10,กรุงเทพมหานคร,6,38,พลังธรรมใหม่,145,1
10,กรุงเทพมหานคร,6,39,กรีน,91,9
10,กรุงเทพมหานคร,6,40,ไทยธรรม,23,2
10,กรุงเทพมหานคร,6,41,แผ่นดินธรรม,16,1
10,กรุงเทพมหานคร,6,42,กล้าธรรม,211,2
10,กรุงเทพมหานคร,6,43,พลังประชารัฐ,110,1
10,กรุงเทพมหานคร,6,44,โอกาสใหม่,1950,1
10,กรุงเทพมหานคร,6,45,เป็นธรรม,45,4
10,กรุงเทพมหานคร,6,46,ประชาชน,44984,4
10,กรุงเทพมหานคร,6,47,ประชาไทย,148,1
10,กรุงเทพมหานคร,6,48,ไทยสร้างไทย,758,7
10,กรุงเทพมหานคร,6,49,ไทยก้าวใหม่,715,7
10,กรุงเทพมหานคร,6,50,ประชาอาสาชาติ,2,2
10,กรุงเทพมหานคร,6,51,พร้อม,22,2
10,กรุงเทพมหานคร,6,52,เครือข่ายชาวนาแห่งประเทศไทย,7,7
10,กรุงเทพมหานคร,6,53,ไทยภักดีธรรม,7,7
10,กรุงเทพมหานคร,6,54,ความหวังใหม่,24,2
10,กรุงเทพมหานคร,6,55,ไทยรวมไทย,6,6
10,กรุงเทพมหานคร,6,56,เพื่อบ้านเมือง,13,1
10,กรุงเทพมหานคร,6,57,พลังไทยรักชาติ,14,1
10,กรุงเทพมหานคร,6,58,รักษ์ธรรม,N/A,
10,กรุงเทพมหานคร,6,59,รวมพลัง,N/A,
10,กรุงเทพมหานคร,6,60,สัมมาธิปไตย,N/A,
10,กรุงเทพมหานคร,7,1,ไทยทรัพย์ทวี,79,7
10,กรุงเทพมหานคร,7,2,เพื่อชาติไทย,225,2
10,กรุงเทพมหานคร,7,3,ใหม่,120,1
10,กรุงเทพมหานคร,7,4,มิติใหม่,257,2
10,กรุงเทพมหานคร,7,5,รวมใจไทย,177,1
10,กรุงเทพมหานคร,7,6,รวมไทยสร้างชาติ,5162,5
10,กรุงเทพมหานคร,7,7,พลวัต,158,1
10,กรุงเทพมหานคร,7,8,ประชาธิปไตยใหม่,400,4
10,กรุงเทพมหานคร,7,9,เพื่อไทย,8129,8
10,กรุงเทพมหานคร,7,10,ทางเลือกใหม่,454,4
10,กรุงเทพมหานคร,7,11,เศรษฐกิจ,2261,2
10,กรุงเทพมหานคร,7,12,เสรีรวมไทย,367,3
10,กรุงเทพมหานคร,7,13,รวมพลังประชาชน,313,3
10,กรุงเทพมหานคร,7,14,ท้องที่ไทย,20,2
10,กรุงเทพมหานคร,7,15,อนาคตไทย,41,4
10,กรุงเทพมหานคร,7,16,พลังเพื่อไทย,81,8
10,กรุงเทพมหานคร,7,17,ไทยชนะ,42,4
10,กรุงเทพมหานคร,7,18,พลังสังคมใหม่,11,1
10,กรุงเทพมหานคร,7,19,สังคมประชาธิปไตยไทย,24,2
10,กรุงเทพมหานคร,7,20,ฟิวชัน,16,1
10,กรุงเทพมหานคร,7,21,ไทยรวมพลัง,52,5
10,กรุงเทพมหานคร,7,22,ก้าวอิสระ,9,9
10,กรุงเทพมหานคร,7,23,ปวงชนไทย,42,4
10,กรุงเทพมหานคร,7,24,วินัยไทย,17,1
10,กรุงเทพมหานคร,7,25,เพื่อชีวิตใหม่,9,9
10,กรุงเทพมหานคร,7,26,คลองไทย,17,1
10,กรุงเทพมหานคร,7,27,ประชาธิปัตย์,7869,7
10,กรุงเทพมหานคร,7,28,ไทยก้าวหน้า,75,7
10,กรุงเทพมหานคร,7,29,ไทยภักดี,1466,1
10,กรุงเทพมหานคร,7,30,แรงงานสร้างชาติ,33,3
10,กรุงเทพมหานคร,7,31,ประชากรไทย,51,5
10,กรุงเทพมหานคร,7,32,ครูไทยเพื่อประชาชน,15,1
10,กรุงเทพมหานคร,7,33,ประชาชาติ,52,5
10,กรุงเทพมหานคร,7,34,สร้างอนาคตไทย,18,1
10,กรุงเทพมหานคร,7,35,รักชาติ,149,1
10,กรุงเทพมหานคร,7,36,ไทยพร้อม,54,5
10,กรุงเทพมหานคร,7,37,ภูมิใจไทย,16552,1
10,กรุงเทพมหานคร,7,38,พลังธรรมใหม่,46,4
10,กรุงเทพมหานคร,7,39,กรีน,74,7
10,กรุงเทพมหานคร,7,40,ไทยธรรม,18,1
10,กรุงเทพมหานคร,7,41,แผ่นดินธรรม,15,1
10,กรุงเทพมหานคร,7,42,กล้าธรรม,153,1
10,กรุงเทพมหานคร,7,43,พลังประชารัฐ,142,1
10,กรุงเทพมหานคร,7,44,โอกาสใหม่,103,1
