province_name,constituency,vote_track,voters_came,good_votes,invalid_votes,no_votes
กำแพงเพชร,1,party_list,101442,91168,6367,3907
กำแพงเพชร,2,party_list,105321,94653,7616,3052
กำแพงเพชร,3,party_list,91355,81932,6661,2762
กำแพงเพชร,4,party_list,93620,84498,6546,2576
ตาก,1,party_list,105329,94793,6201,4335
ตาก,2,party_list,89209,78750,6051,4408
ตาก,3,party_list,96512,87421,6786,2305
สุโขทัย,1,party_list,84340,75861,4950,3529
สุโขทัย,2,party_list,78246,70647,5228,2371
สุโขทัย,3,party_list,83731,74676,5406,3649
สุโขทัย,4,party_list,87669,80489,5164,2016
พิษณุโลก,1,party_list,99468,90992,3460,5016
พิษณุโลก,2,party_list,101319,90654,5176,5489
พิษณุโลก,3,party_list,94938,85820,6469,2649
พิษณุโลก,4,party_list,94492,86559,5614,2319
พิษณุโลก,5,party_list,94537,85739,5713,3085
พิจิตร,1,party_list,100830,91071,6323,3436
พิจิตร,2,party_list,91079,82191,6237,2651
พิจิตร,3,party_list,100598,91584,6773,2241
เพชรบูรณ์,1,party_list,88739,80482,4651,3606
เพชรบูรณ์,2,party_list,100198,91409,5986,2803
เพชรบูรณ์,3,party_list,92278,83320,5865,3093
เพชรบูรณ์,4,party_list,78124,70550,5347,2227
เพชรบูรณ์,5,party_list,81841,74502,4903,2436
เพชรบูรณ์,6,party_list,87505,79123,5895,2387
ราชบุรี,1,party_list,106701,96579,4836,5286
ราชบุรี,2,party_list,101443,89744,6388,5311
ราชบุรี,3,party_list,110523,98080,6503,5940
ราชบุรี,4,party_list,112928,102853,5818,4257
ราชบุรี,5,party_list,114688,104714,6231,3743
กาญจนบุรี,1,party_list,96563,86461,4938,5164
กาญจนบุรี,2,party_list,103736,94230,5775,3731
กาญจนบุรี,3,party_list,113958,104226,6433,3299
กาญจนบุรี,4,party_list,93526,82014,7657,3855
กาญจนบุรี,5,party_list,89052,81443,5480,2129
สุพรรณบุรี,1,party_list,102476,93897,4799,3780
สุพรรณบุรี,2,party_list,91578,84219,4304,3055
สุพรรณบุรี,3,party_list,106772,97354,6610,2808
สุพรรณบุรี,4,party_list,99626,90149,6493,2984
สุพรรณบุรี,5,party_list,104630,98533,5943,4154
นครปฐม,1,party_list,104422,95758,4384,4280
นครปฐม,2,party_list,96412,87501,4178,4733
นครปฐม,3,party_list,91278,82640,4668,3970
นครปฐม,4,party_list,105127,96709,5067,3351
นครปฐม,5,party_list,107208,98825,4474,3909
นครปฐม,6,party_list,97368,91036,2904,3428
สมุทรสาคร,1,party_list,88046,82271,2565,3210
สมุทรสาคร,2,party_list,85606,79368,3130,3108
สมุทรสาคร,3,party_list,81871,76686,2506,2679
สมุทรสาคร,4,party_list,84850,77338,4189,3323
สมุทรสงคราม,1,party_list,113409,103219,5056,5134
เพชรบุรี,1,party_list,99383,90344,4750,4289
เพชรบุรี,2,party_list,105819,96107,5665,4047
เพชรบุรี,3,party_list,103294,93375,5599,4320
ประจวบคีรีขันธ์,1,party_list,118298,107999,6984,3313
ประจวบคีรีขันธ์,2,party_list,103564,95554,4545,3465
ประจวบคีรีขันธ์,3,party_list,103420,96330,4931,2159
นครศรีธรรมราช,1,party_list,99799,94145,3158,2495
นครศรีธรรมราช,2,party_list,100576,94553,3650,2373
นครศรีธรรมราช,3,party_list,98207,93454,3526,1227
นครศรีธรรมราช,4,party_list,103161,98120,3372,1669
นครศรีธรรมราช,5,party_list,106726,100951,3098,2677
นครศรีธรรมราช,6,party_list,105027,100145,3249,1633
นครศรีธรรมราช,7,party_list,99078,91334,3743,4000
นครศรีธรรมราช,8,party_list,99928,94013,3782,2133
นครศรีธรรมราช,9,party_list,102098,97194,3255,1649
กระบี่,1,party_list,97430,91354,3424,2652
กระบี่,2,party_list,86116,81262,2948,1906
กระบี่,3,party_list,94677,89432,3260,1985
พังงา,1,party_list,74405,69369,2614,2422
พังงา,2,party_list,83092,76833,3361,2898
ภูเก็ต,1,party_list,72891,68696,1950,2245
ภูเก็ต,2,party_list,71865,67306,1883,2676
ภูเก็ต,3,party_list,82182,76649,2319,3214
สุราษฎร์ธานี,1,party_list,83141,78960,1656,2525
สุราษฎร์ธานี,2,party_list,86508,82013,2722,1773
สุราษฎร์ธานี,3,party_list,94208,89194,3047,1967
สุราษฎร์ธานี,4,party_list,98789,94398,2813,1578
สุราษฎร์ธานี,5,party_list,93876,89097,3076,1703
สุราษฎร์ธานี,6,party_list,102222,97297,3515,1410
สุราษฎร์ธานี,7,party_list,96637,91966,2846,1825
ระนอง,1,party_list,96299,89474,3703,3122
ชุมพร,1,party_list,104169,98390,3052,2727
ชุมพร,2,party_list,107786,101680,3781,2326
ชุมพร,3,party_list,101286,95882,3303,2101
สงขลา,1,party_list,97310,90673,3039,3598
สงขลา,2,party_list,82761,78784,1830,2147
สงขลา,3,party_list,105979,99690,2783,3506
สงขลา,4,party_list,101440,95827,3935,1678
สงขลา,5,party_list,104525,97917,3923,2685
สงขลา,6,party_list,93834,88842,3164,1828
สงขลา,7,party_list,98801,93037,4053,1711
สงขลา,8,party_list,99959,94208,4014,1737
สงขลา,9,party_list,110450,104388,3119,2943
สตูล,1,party_list,88455,81811,3570,3074
สตูล,2,party_list,99320,92747,3464,3109
ตรัง,1,party_list,99277,93222,2612,3443
ตรัง,2,party_list,101194,95905,2944,2345
ตรัง,3,party_list,95235,89986,2813,2436
ตรัง,4,party_list,99517,94473,2891,2153
พัทลุง,1,party_list,113467,108460,3275,2132
พัทลุง,2,party_list,122373,116799,3700,1874
พัทลุง,3,party_list,116554,110887,3653,2014
ปัตตานี,1,party_list,74216,68916,3270,2030
ปัตตานี,2,party_list,81515,75538,4321,1656
ปัตตานี,3,party_list,70192,65313,3721,1158
ปัตตานี,4,party_list,83824,78483,4144,1197
ปัตตานี,5,party_list,78514,72841,4443,1230
ยะลา,1,party_list,98981,91456,4121,3404
ยะลา,2,party_list,96577,88810,5681,2086
ยะลา,3,party_list,95519,87935,4803,2781
